,date,season,holiday,weekday,workingday,weather,casual,registered,count
513,2012-05-28,2,1,1,0,1,2557,3486,6043
514,2012-05-29,2,0,2,1,1,880,4863,5743
515,2012-05-30,2,0,3,1,2,745,6110,6855
516,2012-05-31,2,0,4,1,1,1100,6238,7338
517,2012-06-01,2,0,5,1,2,533,3594,4127
518,2012-06-02,2,0,6,0,1,2795,5325,8120
519,2012-06-03,2,0,0,0,1,2494,5147,7641
520,2012-06-04,2,0,1,1,1,1071,5927,6998
521,2012-06-05,2,0,2,1,2,968,6033,7001
522,2012-06-06,2,0,3,1,1,1027,6028,7055
523,2012-06-07,2,0,4,1,1,1038,6456,7494
524,2012-06-08,2,0,5,1,1,1488,6248,7736
525,2012-06-09,2,0,6,0,1,2708,4790,7498
526,2012-06-10,2,0,0,0,1,2224,4374,6598
527,2012-06-11,2,0,1,1,2,1017,5647,6664
528,2012-06-12,2,0,2,1,2,477,4495,4972
529,2012-06-13,2,0,3,1,1,1173,6248,7421
530,2012-06-14,2,0,4,1,1,1180,6183,7363
531,2012-06-15,2,0,5,1,1,1563,6102,7665
532,2012-06-16,2,0,6,0,1,2963,4739,7702
533,2012-06-17,2,0,0,0,1,2634,4344,6978
534,2012-06-18,2,0,1,1,2,653,4446,5099
535,2012-06-19,2,0,2,1,1,968,5857,6825
536,2012-06-20,2,0,3,1,1,872,5339,6211
537,2012-06-21,3,0,4,1,1,778,5127,5905
538,2012-06-22,3,0,5,1,1,964,4859,5823
539,2012-06-23,3,0,6,0,1,2657,4801,7458
540,2012-06-24,3,0,0,0,1,2551,4340,6891
541,2012-06-25,3,0,1,1,1,1139,5640,6779
542,2012-06-26,3,0,2,1,1,1077,6365,7442
543,2012-06-27,3,0,3,1,1,1077,6258,7335
544,2012-06-28,3,0,4,1,1,921,5958,6879
545,2012-06-29,3,0,5,1,1,829,4634,5463
546,2012-06-30,3,0,6,0,1,1455,4232,5687
547,2012-07-01,3,0,0,0,1,1421,4110,5531
548,2012-07-02,3,0,1,1,1,904,5323,6227
549,2012-07-03,3,0,2,1,1,1052,5608,6660
550,2012-07-04,3,1,3,0,1,2562,4841,7403
551,2012-07-05,3,0,4,1,1,1405,4836,6241
552,2012-07-06,3,0,5,1,1,1366,4841,6207
553,2012-07-07,3,0,6,0,1,1448,3392,4840
554,2012-07-08,3,0,0,0,1,1203,3469,4672
555,2012-07-09,3,0,1,1,2,998,5571,6569
556,2012-07-10,3,0,2,1,2,954,5336,6290
557,2012-07-11,3,0,3,1,1,975,6289,7264
558,2012-07-12,3,0,4,1,1,1032,6414,7446
559,2012-07-13,3,0,5,1,2,1511,5988,7499
560,2012-07-14,3,0,6,0,2,2355,4614,6969
561,2012-07-15,3,0,0,0,1,1920,4111,6031
562,2012-07-16,3,0,1,1,1,1088,5742,6830
563,2012-07-17,3,0,2,1,1,921,5865,6786
564,2012-07-18,3,0,3,1,1,799,4914,5713
565,2012-07-19,3,0,4,1,1,888,5703,6591
566,2012-07-20,3,0,5,1,2,747,5123,5870
567,2012-07-21,3,0,6,0,3,1264,3195,4459
568,2012-07-22,3,0,0,0,2,2544,4866,7410
569,2012-07-23,3,0,1,1,1,1135,5831,6966
570,2012-07-24,3,0,2,1,1,1140,6452,7592
571,2012-07-25,3,0,3,1,1,1383,6790,8173
572,2012-07-26,3,0,4,1,1,1036,5825,6861
573,2012-07-27,3,0,5,1,1,1259,5645,6904
574,2012-07-28,3,0,6,0,1,2234,4451,6685
575,2012-07-29,3,0,0,0,1,2153,4444,6597
576,2012-07-30,3,0,1,1,1,1040,6065,7105
577,2012-07-31,3,0,2,1,1,968,6248,7216
578,2012-08-01,3,0,3,1,1,1074,6506,7580
579,2012-08-02,3,0,4,1,1,983,6278,7261
580,2012-08-03,3,0,5,1,2,1328,5847,7175
581,2012-08-04,3,0,6,0,1,2345,4479,6824
582,2012-08-05,3,0,0,0,1,1707,3757,5464
583,2012-08-06,3,0,1,1,2,1233,5780,7013
584,2012-08-07,3,0,2,1,2,1278,5995,7273
585,2012-08-08,3,0,3,1,2,1263,6271,7534
586,2012-08-09,3,0,4,1,1,1196,6090,7286
587,2012-08-10,3,0,5,1,2,1065,4721,5786
588,2012-08-11,3,0,6,0,2,2247,4052,6299
589,2012-08-12,3,0,0,0,1,2182,4362,6544
590,2012-08-13,3,0,1,1,1,1207,5676,6883
591,2012-08-14,3,0,2,1,1,1128,5656,6784
592,2012-08-15,3,0,3,1,1,1198,6149,7347
593,2012-08-16,3,0,4,1,1,1338,6267,7605
594,2012-08-17,3,0,5,1,1,1483,5665,7148
595,2012-08-18,3,0,6,0,1,2827,5038,7865
596,2012-08-19,3,0,0,0,2,1208,3341,4549
597,2012-08-20,3,0,1,1,2,1026,5504,6530
598,2012-08-21,3,0,2,1,1,1081,5925,7006
599,2012-08-22,3,0,3,1,1,1094,6281,7375
600,2012-08-23,3,0,4,1,1,1363,6402,7765
601,2012-08-24,3,0,5,1,2,1325,6257,7582
602,2012-08-25,3,0,6,0,2,1829,4224,6053
603,2012-08-26,3,0,0,0,2,1483,3772,5255
604,2012-08-27,3,0,1,1,1,989,5928,6917
605,2012-08-28,3,0,2,1,1,935,6105,7040
606,2012-08-29,3,0,3,1,1,1177,6520,7697
607,2012-08-30,3,0,4,1,1,1172,6541,7713
608,2012-08-31,3,0,5,1,1,1433,5917,7350
609,2012-09-01,3,0,6,0,2,2352,3788,6140
610,2012-09-02,3,0,0,0,2,2613,3197,5810
611,2012-09-03,3,1,1,0,1,1965,4069,6034
612,2012-09-04,3,0,2,1,1,867,5997,6864
613,2012-09-05,3,0,3,1,1,832,6280,7112
614,2012-09-06,3,0,4,1,2,611,5592,6203
615,2012-09-07,3,0,5,1,1,1045,6459,7504
616,2012-09-08,3,0,6,0,2,1557,4419,5976
617,2012-09-09,3,0,0,0,1,2570,5657,8227
618,2012-09-10,3,0,1,1,1,1118,6407,7525
619,2012-09-11,3,0,2,1,1,1070,6697,7767
620,2012-09-12,3,0,3,1,1,1050,6820,7870
621,2012-09-13,3,0,4,1,1,1054,6750,7804
622,2012-09-14,3,0,5,1,1,1379,6630,8009
623,2012-09-15,3,0,6,0,1,3160,5554,8714
624,2012-09-16,3,0,0,0,1,2166,5167,7333
625,2012-09-17,3,0,1,1,2,1022,5847,6869
626,2012-09-18,3,0,2,1,2,371,3702,4073
627,2012-09-19,3,0,3,1,1,788,6803,7591
628,2012-09-20,3,0,4,1,1,939,6781,7720
629,2012-09-21,3,0,5,1,1,1250,6917,8167
630,2012-09-22,3,0,6,0,1,2512,5883,8395
631,2012-09-23,4,0,0,0,1,2454,5453,7907
632,2012-09-24,4,0,1,1,1,1001,6435,7436
633,2012-09-25,4,0,2,1,1,845,6693,7538
634,2012-09-26,4,0,3,1,1,787,6946,7733
635,2012-09-27,4,0,4,1,2,751,6642,7393
636,2012-09-28,4,0,5,1,2,1045,6370,7415
637,2012-09-29,4,0,6,0,1,2589,5966,8555
638,2012-09-30,4,0,0,0,1,2015,4874,6889
639,2012-10-01,4,0,1,1,2,763,6015,6778
640,2012-10-02,4,0,2,1,3,315,4324,4639
641,2012-10-03,4,0,3,1,2,728,6844,7572
642,2012-10-04,4,0,4,1,2,891,6437,7328
643,2012-10-05,4,0,5,1,1,1516,6640,8156
644,2012-10-06,4,0,6,0,1,3031,4934,7965
645,2012-10-07,4,0,0,0,2,781,2729,3510
646,2012-10-08,4,1,1,0,2,874,4604,5478
647,2012-10-09,4,0,2,1,2,601,5791,6392
648,2012-10-10,4,0,3,1,1,780,6911,7691
649,2012-10-11,4,0,4,1,1,834,6736,7570
650,2012-10-12,4,0,5,1,1,1060,6222,7282
651,2012-10-13,4,0,6,0,1,2252,4857,7109
652,2012-10-14,4,0,0,0,1,2080,4559,6639
653,2012-10-15,4,0,1,1,2,760,5115,5875
654,2012-10-16,4,0,2,1,1,922,6612,7534
655,2012-10-17,4,0,3,1,1,979,6482,7461
656,2012-10-18,4,0,4,1,2,1008,6501,7509
657,2012-10-19,4,0,5,1,2,753,4671,5424
658,2012-10-20,4,0,6,0,1,2806,5284,8090
659,2012-10-21,4,0,0,0,1,2132,4692,6824
660,2012-10-22,4,0,1,1,1,830,6228,7058
661,2012-10-23,4,0,2,1,1,841,6625,7466
662,2012-10-24,4,0,3,1,1,795,6898,7693
663,2012-10-25,4,0,4,1,2,875,6484,7359
664,2012-10-26,4,0,5,1,2,1182,6262,7444
665,2012-10-27,4,0,6,0,2,2643,5209,7852
666,2012-10-28,4,0,0,0,2,998,3461,4459
667,2012-10-29,4,0,1,1,3,2,20,22
668,2012-10-30,4,0,2,1,2,87,1009,1096
669,2012-10-31,4,0,3,1,2,419,5147,5566
670,2012-11-01,4,0,4,1,2,466,5520,5986
671,2012-11-02,4,0,5,1,1,618,5229,5847
672,2012-11-03,4,0,6,0,2,1029,4109,5138
673,2012-11-04,4,0,0,0,1,1201,3906,5107
674,2012-11-05,4,0,1,1,1,378,4881,5259
675,2012-11-06,4,0,2,1,1,466,5220,5686
676,2012-11-07,4,0,3,1,2,326,4709,5035
677,2012-11-08,4,0,4,1,1,340,4975,5315
678,2012-11-09,4,0,5,1,1,709,5283,5992
679,2012-11-10,4,0,6,0,1,2090,4446,6536
680,2012-11-11,4,0,0,0,1,2290,4562,6852
681,2012-11-12,4,1,1,0,1,1097,5172,6269
682,2012-11-13,4,0,2,1,2,327,3767,4094
683,2012-11-14,4,0,3,1,1,373,5122,5495
684,2012-11-15,4,0,4,1,2,320,5125,5445
685,2012-11-16,4,0,5,1,1,484,5214,5698
686,2012-11-17,4,0,6,0,1,1313,4316,5629
687,2012-11-18,4,0,0,0,1,922,3747,4669
688,2012-11-19,4,0,1,1,2,449,5050,5499
689,2012-11-20,4,0,2,1,2,534,5100,5634
690,2012-11-21,4,0,3,1,1,615,4531,5146
691,2012-11-22,4,1,4,0,1,955,1470,2425
692,2012-11-23,4,0,5,1,1,1603,2307,3910
693,2012-11-24,4,0,6,0,1,532,1745,2277
694,2012-11-25,4,0,0,0,1,309,2115,2424
695,2012-11-26,4,0,1,1,1,337,4750,5087
696,2012-11-27,4,0,2,1,2,123,3836,3959
697,2012-11-28,4,0,3,1,1,198,5062,5260
698,2012-11-29,4,0,4,1,1,243,5080,5323
699,2012-11-30,4,0,5,1,1,362,5306,5668
700,2012-12-01,4,0,6,0,2,951,4240,5191
701,2012-12-02,4,0,0,0,2,892,3757,4649
702,2012-12-03,4,0,1,1,1,555,5679,6234
703,2012-12-04,4,0,2,1,1,551,6055,6606
704,2012-12-05,4,0,3,1,1,331,5398,5729
705,2012-12-06,4,0,4,1,1,340,5035,5375
706,2012-12-07,4,0,5,1,2,349,4659,5008
707,2012-12-08,4,0,6,0,2,1153,4429,5582
708,2012-12-09,4,0,0,0,2,441,2787,3228
709,2012-12-10,4,0,1,1,2,329,4841,5170
710,2012-12-11,4,0,2,1,2,282,5219,5501
711,2012-12-12,4,0,3,1,2,310,5009,5319
712,2012-12-13,4,0,4,1,1,425,5107,5532
713,2012-12-14,4,0,5,1,1,429,5182,5611
714,2012-12-15,4,0,6,0,1,767,4280,5047
715,2012-12-16,4,0,0,0,2,538,3248,3786
716,2012-12-17,4,0,1,1,2,212,4373,4585
717,2012-12-18,4,0,2,1,1,433,5124,5557
718,2012-12-19,4,0,3,1,1,333,4934,5267
719,2012-12-20,4,0,4,1,2,314,3814,4128
720,2012-12-21,1,0,5,1,2,221,3402,3623
721,2012-12-22,1,0,6,0,1,205,1544,1749
722,2012-12-23,1,0,0,0,1,408,1379,1787
723,2012-12-24,1,0,1,1,2,174,746,920
724,2012-12-25,1,1,2,0,2,440,573,1013
725,2012-12-26,1,0,3,1,3,9,432,441
726,2012-12-27,1,0,4,1,2,247,1867,2114
727,2012-12-28,1,0,5,1,2,644,2451,3095
728,2012-12-29,1,0,6,0,2,159,1182,1341
729,2012-12-30,1,0,0,0,1,364,1432,1796
730,2012-12-31,1,0,1,1,2,439,2290,2729
